,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0,2.055885982513428,0.03296010179806794,0.04999256134033203,0.0033555468321551925,5,300,"{'min_samples_leaf': 5, 'n_estimators': 300}",-438.88541169073443,-292.52076842356985,-187.094385415038,-135.79571159913075,-106.50099977608104,-232.15945538091083,121.23199927090663,20,-80.94022582768267,-43.021684267881696,-38.983423885365355,-17.869622749014628,-13.634538478737234,-38.889899041736314,23.93740015726726,20
1,2.767215633392334,0.053207320390341005,0.06447443962097169,0.0032690148897615264,5,400,"{'min_samples_leaf': 5, 'n_estimators': 400}",-438.842878752708,-292.54249487326825,-181.46398490016182,-135.50905875127629,-106.2935900096528,-230.93040145741344,121.74575314882456,18,-80.8613879279729,-42.88682249651052,-38.8593700595631,-17.85172752202566,-13.655347419007374,-38.82293108501591,23.903753016655596,19
2,3.4219347476959228,0.029616066466710503,0.07569298744201661,0.001811026589000152,5,500,"{'min_samples_leaf': 5, 'n_estimators': 500}",-438.6183961578755,-292.9555761370037,-180.78998733153674,-134.859930854328,-106.42183568349323,-230.7291452328475,121.84186662890924,17,-80.82138286829672,-42.75669137398281,-38.751746178818955,-17.88537990541208,-13.608478240915376,-38.764735713485194,23.889253808413724,17
3,4.805699300765991,0.06409824009765237,0.10524168014526367,0.00216778673205856,5,700,"{'min_samples_leaf': 5, 'n_estimators': 700}",-438.2792483983349,-292.93089088844954,-179.1746648629701,-135.16807105719852,-106.31070701655014,-230.37271644470064,121.83201417624034,14,-80.74414258235804,-42.82510294302958,-38.80762961780563,-17.919091014445097,-13.534178496745376,-38.76602893087674,23.874174059061804,18
4,1.9034637451171874,0.027966300432989016,0.0446317195892334,0.0008825393147202184,7,300,"{'min_samples_leaf': 7, 'n_estimators': 300}",-438.2565125536051,-292.8241530180348,-183.28188288151406,-135.51037793079666,-106.2727458604204,-231.22913444887422,121.43261500005164,19,-80.55582122045169,-42.86437367859653,-38.409035930899925,-17.860625533207656,-13.807662414756061,-38.69950375558238,23.762341785508266,15
5,2.536227750778198,0.03497458463687129,0.05877885818481445,0.0014508328478012324,7,400,"{'min_samples_leaf': 7, 'n_estimators': 400}",-438.12575520306103,-292.8345617142824,-180.17140791799093,-135.54238902455165,-106.1525596903363,-230.56533471004445,121.66037270970253,15,-80.54563194603415,-42.74484763850812,-38.285202690915945,-17.89347332593249,-13.701011425334931,-38.63403340534513,23.77153333811762,11
6,3.259745693206787,0.04440595866073491,0.07448401451110839,0.0009253588998127656,7,500,"{'min_samples_leaf': 7, 'n_estimators': 500}",-437.91498679555883,-293.61107843430494,-179.9537142983037,-135.20013502218896,-106.35470040064966,-230.6069229902012,121.698787571243,16,-80.53361299171213,-42.654062084679744,-38.22348271756106,-17.954907786232265,-13.654713664888893,-38.60415584901482,23.76338418529377,9
7,4.963988971710205,0.07899015227346715,0.13058271408081054,0.03503874175271923,7,700,"{'min_samples_leaf': 7, 'n_estimators': 700}",-438.15004800158624,-293.33712373482393,-177.17294315642448,-135.31050599731012,-106.11752968791198,-230.01763011561133,122.01778299233546,13,-80.48979304536462,-42.77854233104925,-38.369569400266236,-17.99293754640756,-13.615803356797034,-38.64932913597694,23.753387184615818,13
8,2.103150749206543,0.17140413102021818,0.06314191818237305,0.010284681365825752,10,300,"{'min_samples_leaf': 10, 'n_estimators': 300}",-438.15606140398495,-294.6478099548776,-148.46930497219037,-135.7672116298592,-106.00136989830311,-224.60835157184306,125.11248440514973,12,-80.32151397590964,-42.74634827975612,-39.346675766644175,-17.622818406201507,-13.664477327764997,-38.74036675125528,23.74935107169039,16
9,2.5305087566375732,0.10750218562907982,0.0595250129699707,0.0017805930357305206,10,400,"{'min_samples_leaf': 10, 'n_estimators': 400}",-437.6266955313362,-294.3261972039135,-145.0061536318034,-135.90422672747985,-105.89885862865594,-223.7524263446378,125.32406410499745,10,-80.28983087445351,-42.53073576607871,-39.0960241261168,-17.62660712387708,-13.597401310007276,-38.628119840106685,23.74341137367985,10
