,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0,1.8466825008392334,0.14311025570052108,0.04757890701293945,0.0012775410303747408,10,300,"{'min_samples_leaf': 10, 'n_estimators': 300}",-438.15606140398495,-294.6478099548776,-148.46930497219037,-135.7672116298592,-106.00136989830311,-224.60835157184306,125.11248440514973,28,-80.32151397590964,-42.74634827975612,-39.346675766644175,-17.622818406201507,-13.664477327764997,-38.74036675125528,23.74935107169039,28
1,2.55388822555542,0.05061641418459109,0.07424111366271972,0.022583170951635794,10,400,"{'min_samples_leaf': 10, 'n_estimators': 400}",-437.6266955313362,-294.3261972039135,-145.0061536318034,-135.90422672747985,-105.89885862865594,-223.7524263446378,125.32406410499745,26,-80.28983087445351,-42.53073576607871,-39.0960241261168,-17.62660712387708,-13.597401310007276,-38.628119840106685,23.74341137367985,25
2,3.114539098739624,0.2231706825494389,0.0710172176361084,0.0011815972863022464,10,500,"{'min_samples_leaf': 10, 'n_estimators': 500}",-437.47031612086533,-294.4797681307166,-144.83716141345147,-136.11309786895296,-106.07067435499589,-223.79420357779645,125.24771474643552,27,-80.2409128013772,-42.441428653263856,-38.91714203219727,-17.656197085118155,-13.556523738564199,-38.56244086210414,23.726079753928662,24
3,4.008407402038574,0.06306268890965207,0.10026326179504394,0.0038829368717605383,10,700,"{'min_samples_leaf': 10, 'n_estimators': 700}",-437.6214793350223,-294.5838644619792,-143.51115026898879,-136.35454773173393,-105.90444200248906,-223.59509676004262,125.47680237842806,25,-80.24012682026695,-42.65479725939706,-39.08258296273736,-17.710109083570085,-13.539305275542594,-38.645384280302814,23.727579280857743,26
4,1.564244031906128,0.026562040557138226,0.04178485870361328,0.0003494754333974832,15,300,"{'min_samples_leaf': 15, 'n_estimators': 300}",-438.49471456671296,-295.46528873961995,-140.7044226323733,-137.50548252017853,-105.49204929132365,-223.53239155004167,126.15685944697897,24,-79.95597624662717,-42.54350631310061,-39.727786247614134,-17.51569244868227,-13.733201724967504,-38.69523259619834,23.622024681665973,27
5,2.0896098136901857,0.02819235931925425,0.05553116798400879,0.001154443948638726,15,400,"{'min_samples_leaf': 15, 'n_estimators': 400}",-438.32187463042726,-295.0803561816431,-134.87033913671763,-137.0596733050682,-105.62425277538722,-222.19129920584868,126.87431605301887,23,-79.99121625951702,-42.343705549073846,-39.205589121352055,-17.463737125505915,-13.684840853673052,-38.53781778182438,23.6436134434202,23
6,2.613837718963623,0.04548065676201609,0.06894211769104004,0.0012336237835774738,15,500,"{'min_samples_leaf': 15, 'n_estimators': 500}",-438.0402359567216,-294.35082647588274,-133.80211260047685,-137.30152017918473,-105.6317130912537,-221.82528166070392,126.80863616904102,21,-79.98243527362408,-42.22671712232564,-39.148904521339716,-17.47518895549101,-13.654181718870618,-38.49748551833021,23.640893670591986,20
7,3.6681119441986083,0.049105415350604045,0.09580278396606445,0.0010398290177303776,15,700,"{'min_samples_leaf': 15, 'n_estimators': 700}",-438.3833905268755,-294.46638876825824,-134.0583527301855,-137.2970731125078,-105.50141105573583,-221.94132323871258,126.92783174390715,22,-79.96249682449184,-42.34799536112807,-39.1004348609134,-17.508766378792576,-13.650975087103912,-38.514133702485964,23.632228682443678,21
8,1.4549074649810791,0.02008249667477756,0.04154953956604004,0.0006522807557961471,20,300,"{'min_samples_leaf': 20, 'n_estimators': 300}",-438.6713543327411,-294.9528614884279,-129.40694429960882,-137.49520176201838,-104.85819519904241,-221.0769114163677,127.82884857986573,20,-79.83788649268678,-42.3016816743887,-39.479839850113386,-17.41126897305477,-13.619895398073183,-38.53011447766337,23.61348502990758,22
9,1.9597612857818603,0.028196063667112803,0.05485057830810547,0.00032169210236237633,20,400,"{'min_samples_leaf': 20, 'n_estimators': 400}",-438.3130428924556,-294.42014935811585,-125.16782546346437,-137.148882460958,-105.10939386685138,-220.03185880836904,128.2624174378196,18,-79.81343207095196,-42.10390486391147,-38.911736568101354,-17.407990736735368,-13.605954041041432,-38.368603656148316,23.598548178747325,19
10,2.4841572284698485,0.04921050960975743,0.06907691955566406,0.00306219107729867,20,500,"{'min_samples_leaf': 20, 'n_estimators': 500}",-438.1670945757821,-293.829143335667,-125.5998980106196,-137.157357427551,-105.13058429228249,-219.97681552838043,128.0756699945329,17,-79.8071627159622,-41.971949736057475,-38.74666899223376,-17.404833546076123,-13.593000586024303,-38.30472311527078,23.594791689787858,17
11,3.4291264533996584,0.04057105912536168,0.09703898429870605,0.0034558653971087636,20,700,"{'min_samples_leaf': 20, 'n_estimators': 700}",-438.5267485487947,-294.0147469268256,-126.72076259061885,-137.38305355538384,-105.0784553814956,-220.34475340062372,128.03520274395254,19,-79.76614477564726,-42.02354440475612,-38.75308075359267,-17.464140251885755,-13.595198809682119,-38.32042179911279,23.571038991547358,18
